w0,w1,w2,w3
0.00577376,0.08080467,-0.03086432,-0.02741772
0.07033371,-0.22347700,0.11282617,-0.05249570
0.04286779,0.17672393,0.03169708,-0.18764418
0.02653533,-0.02193111,0.06806596,0.09935822
0.06150215,0.11552869,-0.10664793,-0.08305356
0.06063821,0.02248921,-0.02341476,0.00542176
0.06051073,-0.12675728,-0.01818856,-0.18589636
0.06849453,-0.27570391,0.08475483,0.07436133
-0.08886277,0.12082980,-0.12341949,-0.00419396
-0.04183944,0.20696155,-0.08722993,0.02292665
0.03224512,-0.06656009,-0.32866946,0.10892674
0.31239945,0.01227166,0.11644437,0.02868252
-0.30568137,0.10675298,0.18567345,-0.10601590
0.07321968,-0.13237147,0.06941336,0.00218428
-0.00616749,-0.01716170,0.06967595,-0.15584073
-0.02276084,0.18713913,-0.12078956,0.04805129
0.01714619,-0.03718619,0.01317782,0.04811977
0.05910551,-0.08281086,0.26865785,-0.19956341
-0.01700742,0.04964004,-0.06409642,-0.05090510
-0.18885948,-0.15764399,-0.05419094,-0.18753235
-0.01923599,-0.15256947,0.03951065,-0.03120600
-0.26792888,0.15223623,0.01587702,0.11381505
0.06099898,-0.13849770,-0.27096939,0.20265586
0.01772454,0.03945178,0.06527452,-0.29226259
0.19287785,-0.07948634,-0.05928901,-0.16549535
-0.04942934,-0.29767646,0.10755406,-0.12003297
0.01822821,-0.13768788,-0.00858446,0.08387327
0.05267195,-0.01212793,0.03514853,0.01079827
-0.06349018,-0.09728985,-0.03936314,0.03467456
0.23786698,-0.09938751,-0.16908712,0.07512046
-0.78185517,0.29079431,0.17659655,0.38673977
0.02244043,-0.07065163,-0.16966303,-0.19909496
0.30857576,0.10919994,-0.14269258,-0.04907395
0.08972671,-0.04712037,-0.00408703,0.15815180
0.08760599,-0.10869478,-0.18035139,0.08273277
-0.02837163,0.22287218,-0.02862282,0.06551582
0.04441650,0.16036151,-0.00684583,-0.08369579
0.03377070,0.17688997,0.01557787,-0.02757883
0.01444554,-0.23618206,0.06528710,-0.01994364
-2.06321959,0.49924451,0.52261575,0.99995385
0.06134258,-0.04754742,0.07933615,0.01341983
-0.13772202,-0.12588304,0.28983474,-0.11731121
0.14638916,0.06479655,0.21335967,0.00720274
-0.18939382,-0.21576541,0.04575172,0.02563260
0.00512666,-0.28890097,0.16567304,0.07729815
-0.00722683,-0.38706878,0.32235360,0.02798898
0.17105015,-0.46819821,0.52320616,0.04041862
0.68978418,-2.14949810,1.02054395,0.48188794
-0.01801404,0.03454240,0.04497022,-0.01287939
0.39138643,0.93007408,-1.97009690,0.53452277
0.06229259,0.56643855,-0.54772951,0.13343590
-0.04031851,0.42528817,-0.29936451,0.09253663
0.01005321,0.15738802,-0.23451186,0.00828293
-0.13463995,0.30674940,0.03645749,-0.01813849
-0.22108726,0.01416085,-0.11869778,-0.08726439
-0.06824831,0.12832590,-0.03099630,-0.11620477
0.05923987,0.09890613,-0.19375256,0.19986222
0.97480785,0.69203563,0.47188076,-2.12078221
0.13110792,0.01136497,-0.24578257,0.15968391
0.04993516,0.04514120,0.15993095,-0.11689338
-0.12307778,-0.23716169,0.20510153,-0.17094502
-0.16365996,0.11179864,0.15223120,-0.03169514
0.12131405,-0.10507375,-0.06803987,0.03205694
0.04959267,-0.07779547,-0.06606134,-0.08390753
-0.13419804,-0.01217510,0.17207987,0.19256861
-0.09082160,-0.12244783,-0.11389496,0.04372082
0.33520981,0.04746250,0.16613383,-0.61920641
-0.02188756,0.00230526,-0.19343986,0.04152764
-0.01361504,-0.10185552,-0.06709943,0.15292969
-0.18854466,0.05605878,0.07838126,0.05509746
-0.06317644,-0.09000159,-0.18605889,0.01192458
0.08021948,0.00329508,-0.10980045,-0.20059080
0.06396123,-0.05165827,-0.03826735,0.08608327
-0.00037014,0.17233395,-0.03518650,0.06755183
-0.07249459,-0.10157959,-0.07412303,0.00265623
0.16174750,0.04500367,0.22397564,-0.34405717
-0.03814232,-0.10291417,-0.07434921,-0.26569088
-0.03710081,0.06073257,0.11542601,0.08136130
-0.08273459,0.04304336,-0.01599840,0.12514764
-0.14723391,-0.05092962,0.11259714,-0.04220422
-0.21188201,0.04010427,0.00654649,-0.05735102
0.03197162,0.01482550,0.03999075,0.32950557
0.02075942,0.16721001,0.06503607,0.14241184
-0.06826213,-0.04813155,-0.21579757,0.23271805
0.17850225,0.01673147,0.03628754,-0.41383035
-0.06036120,0.13158532,-0.13763554,0.12818452
0.06876403,-0.02829251,0.01519646,0.01070804
0.00203286,-0.16839724,0.06927018,0.15618551
0.05003672,-0.14607172,-0.11936839,-0.11440182
